situation,thought,reframe,has_distortion,all-or-nothing thinking,comparing and despairing,disqualifying the positive,emotional reasoning,fortune telling,labeling,magnification,mind reading,overgeneralizing,should statements,mental filter,personalization and blaming
My wife didn't look up from her phone or answer me when I came to talk to her.,Am I not worth her time?,"I am worth my wife's time, but not 24/7. Just because she is busy does not mean she doesn't love me.",1,0,0,0,0,0,1,0,0,0,0,0,0
My wife has left me.,I'm going to be alone,"Being left by my wife hurts, but it doesn't necessarily means I will be alone forever.",1,0,0,0,0,0,0,1,0,0,0,0,0
My wife has left me.,I'm going to be alone,"The end of my relationship is hard, and maybe it was the right thing and I can now live a life that is worth living for me.",1,0,0,1,0,0,0,0,0,0,0,0,0
My wife sat me down and said she needed me to make more money because she is tired of paying rent by herself,i was letting her down and she felt pressured by my actions,I am glad my wife felt comfortable enough to communicate her concerns with me so we can work together to find a solution.,1,0,0,0,0,0,0,0,1,0,0,0,0
My wife sat me down and said she needed me to make more money because she is tired of paying rent by herself,i was letting her down and she felt pressured by my actions,Our financial stressors as a couple are high right now. There are other parts of our relationship that are going well. I know my wife values how hard I work at taking care of our children and keeping our house organized.,1,0,0,0,0,0,0,0,0,1,0,0,0
No trust,I am scared something bad will happen to the people I love,How are they doing in this moment?  Come back to this moment … It is only your anxiety and worry talking …,1,0,0,0,0,1,0,1,0,0,0,0,0
Nobody finds me attractive other then my boyfriend,I am ugly,You have many good qualities about you,1,0,0,0,0,0,1,0,0,0,0,0,0
Once I was unemployed because I had many faults at work,Having done things wrong,it's true that i have done a lot of wrong things. i have gotten better and will continue to improve,1,0,0,0,0,0,0,0,0,0,0,0,1
Recent panic attack,I'm not going to live up to my expectations for my future,"I had a panic attack recently but that doesn't mean I have to give up on my future.  I may never have another panic attack, but if I do I can learn how to manage the reaction I have.  They are more common than people realize and it doesn't mean I don't have a future.",1,0,0,0,0,0,0,1,0,0,0,0,0
Recent panic attack,I'm not going to live up to my expectations for my future,panic attacks are very scary but they don't have to limit my future expectations.  Many people have panic attacks and become very successful.  I can try medication or exposure therapy to increase the chances of being successful.,1,0,0,0,0,1,0,0,0,0,0,0,0
"Recent rape, prior trauma, isolation, boredom, loneliness, feeling abandoned and so alone",I can't get through this,I am being victimized and traumatized but I can do something about this,1,0,0,0,1,0,0,0,0,0,0,0,0
"Recently I found out that one of my coworkers with who I work closely, organized a party and I wasn't invited to the party.",I felt left out and singled out in the office and wondered if the person had a personal grudge against me.,There may be many reasons this person did not invite me to their party.,1,0,0,0,0,0,0,0,1,0,0,0,1
"Recently I found out that one of my coworkers with who I work closely, organized a party and I wasn't invited to the party.",I felt left out and singled out in the office and wondered if the person had a personal grudge against me.,It does not feel good to be left out but that does not mean it was personal,1,0,0,0,0,0,0,0,0,0,0,0,1
Rejected from my dream company,I never get what I want,Most times I do not get I want. I think I will have to settle for a less desirable company,1,0,0,0,0,0,0,0,0,1,0,0,0
Rejected from my dream company,I never get what I want,Never? Think about the instances when I was able to achieve what I wanted,1,0,0,0,0,0,0,0,0,1,0,0,0
Someone criticized the way I dealt with a patient saying that I was too short tempered with them.,"I felt the criticism was unfair because they didn't take into account the entire situation, especially considering how the patient was behaving towards me.",I know the details of this situation and was the person involved so my response style is for me to decide,1,0,0,0,0,0,0,0,0,0,0,0,1
Someone criticized the way I dealt with a patient saying that I was too short tempered with them.,"I felt the criticism was unfair because they didn't take into account the entire situation, especially considering how the patient was behaving towards me.",People can give me feedback and I can take or leave it.,1,0,0,0,0,0,0,0,0,0,0,0,1
Someone pushed me and made me bleed,I feel like people out there try to take advantage of me and also betray me .,I don't know why they pushed me. Maybe it had nothing to do with me.,1,0,0,0,0,0,0,0,1,0,0,0,0
Someone pushed me and made me bleed,I feel like people out there try to take advantage of me and also betray me .,"One person mistreated me, but there are other people who care about me.",1,0,0,0,0,0,0,0,0,1,0,0,0
Stomach ache every day,I might be having a serious illness,A stomach ache could be due to stress or worry and may not cause serious illness.   I have a tendency to think the worst instead being practical.  If I reduce my stress I may find my stomach no longer hurts.,1,0,0,0,0,0,0,1,0,0,0,0,0
Stomach ache every day,I might be having a serious illness,A stomach ache is not necessarily indicative of serious illness.  I won't know what it means unless I go to a doctor.,1,0,0,0,0,1,0,0,0,0,0,0,0
That's what my mom tells me growing up,I'm worthless,No one is completely worthless.  I can always find good things about other people and one day I will be able to see that I have value.,1,0,0,0,0,0,0,0,0,1,0,0,0
That's what my mom tells me growing up,I'm worthless,Just because my mom told me that all my life doesn't make it true.  I know I have value because I have demonstrated good qualities to my friends and co-workers.,1,0,0,0,1,0,0,0,0,1,0,0,0
"The guy I'm dating went home early one night and I got upset because I thought it meant he didn't want to see me anymore, but I was wrong.",I guess he doesn't like me anymore,"I will reach out to him to discuss how he's been feeling, I cannot know what he is thinking or feeling.",1,0,0,0,0,0,0,0,1,0,0,0,0
The host of a party is giving me one-word responses when I try to talk to them,I feel like an outcast,I'm feeling like an outcast and I'm unable to talk to people. But let's see if there are other fun things to do at the party,1,0,0,0,1,0,0,0,0,0,0,0,0
The host of a party is giving me one-word responses when I try to talk to them,I feel like an outcast,"I'm feeling like an outcast, but so do many others",1,0,0,0,1,0,0,0,0,0,0,0,0
They did not convert me as permanent at work,I'm a failure,There may be a good reason why they didn't keep me on permanently at work.  I know I have a lot to learn and I am willing to do better.  That does not make me a failure.  I have excelled at many things in life and work is only part of who I am.,1,1,0,0,0,0,0,0,0,0,0,0,0
They did not convert me as permanent at work,I'm a failure,I am not a failure.  There are lots of reasons why they may not have kept me on as permanent at work.  I am worthy of employment and one day will find a place that appreciates me.,1,0,0,0,0,0,1,0,0,0,0,0,0
Three days have passed since my job interview and I didn't receive any updates,I didn't get the job,I don't know yet whether I got the job. I will only know it when I hear back from the recruiter,1,0,0,0,0,1,0,0,0,0,0,0,0
Three days have passed since my job interview and I didn't receive any updates,I didn't get the job,"I may not get the job, but I can apply again. I'll have to put more effort, but let's see what the future holds.",1,0,0,0,0,1,0,0,0,0,0,0,0
"Time is running short on the workday, my boss asks me if I can finish a task that will require me to stay for a few extra hours.",Why would you wait until the last minute to ask me this.,This task is a particularly challenging one - neither of us estimated it would take this long to finish it.,1,0,0,0,0,0,0,0,0,0,0,0,1
"Time is running short on the workday, my boss asks me if I can finish a task that will require me to stay for a few extra hours.",Why would you wait until the last minute to ask me this.,He is asking me to stay late today but this is a one-off and he doesn't ask me to do that often.,1,0,0,1,0,0,0,0,0,0,0,0,0
We had bad storms in our community and some tornadoes came through and destroyed some of the area. No one in our extended family from out of town checked on me.,I feel unloved and unwanted by my mother and siblings,"My family may not know about the tornadoes. I am sure if they did, they would reach out because I know they care about me. Just because they don't check in this one time, does not mean I am not loved by them.",1,1,0,0,0,0,0,0,0,0,0,0,0
We had bad storms in our community and some tornadoes came through and destroyed some of the area. No one in our extended family from out of town checked on me.,I feel unloved and unwanted by my mother and siblings,"It is possible nobody in my extended family heard about the tornadoes. I am sure if they did, they would reach out.",1,0,0,0,1,0,0,0,0,0,0,0,0
"When I told my friend about my job, he said it has little real-world significance",My job is worthless,"I have a job, even though it has little worth",1,0,0,0,0,0,0,0,0,1,0,0,0
"When I told my friend about my job, he said it has little real-world significance",My job is worthless,My friend is pessimistic anyways. I truly believe my job has some value,1,0,0,0,0,0,0,0,0,1,0,0,0
"When doing some piecework online, I was told that my work was not good.","I worked hard on these jobs, and was sure I had done well.","It's okay if people don't like my work. It doesn't mean that I don't work hard, or that others may also like my work.",1,0,0,0,0,0,0,0,0,1,0,0,0
"While in a group voice chat, everyone left me without saying goodbye.",Does nobody want to talk to me?,maybe i didnt hear them say goodbye,1,0,0,0,0,0,0,0,1,0,0,0,1
"While in a group voice chat, everyone left me without saying goodbye.",Does nobody want to talk to me?,my phone might have accidentally dropped the call,1,0,0,0,0,0,0,0,0,0,0,0,1
Working on a project with Python and have not gotten it to successfully run.,Why is it still messed up?,The code gets better every time I run it.,1,1,0,0,0,0,0,0,0,0,0,0,0
Working on a project with Python and have not gotten it to successfully run.,Why is it still messed up?,Python is tricky. I am trying my best.,1,0,0,1,0,0,0,0,0,0,0,0,0
Would my death have an impact on people? Like is there anyone on here that's had someone close to them commit suicide and knows what it's like?,Would anyone care if I died?,"A lot of people would care if I died, like my friends and family.",1,0,0,0,0,0,0,0,0,1,0,0,0
Would my death have an impact on people? Like is there anyone on here that's had someone close to them commit suicide and knows what it's like?,Would anyone care if I died?,"Yes, at least one person would care if I died.",1,0,0,0,0,0,0,0,0,1,0,0,0
a girl i really liked would not go out on a date with me,im not very attractive,This girl and I did not work out but there are other people who may be a better fit for me,1,1,0,0,0,0,0,0,0,0,0,0,0
a girl i really liked would not go out on a date with me,im not very attractive,This girl could have said no for many reasons that may have nothing to do with my attractiveness.,1,1,0,0,0,0,1,0,0,0,0,0,0
everyone ignores. not their fault I know. Honestly my best friends have been treating me like dirt and idk what to do. I feel so pointless taken all my mental and emotional energy to even send this.,No one cares about me,"If my friends are treating me poorly or ignoring, then maybe they aren't friends that I need to have in my life.",1,1,0,0,0,0,0,0,0,0,0,0,0
everyone ignores. not their fault I know. Honestly my best friends have been treating me like dirt and idk what to do. I feel so pointless taken all my mental and emotional energy to even send this.,No one cares about me,"My friends are treating me poorly, but that doesn't mean they don't care about me. They might be struggling and lashing out because of that.",1,1,0,0,0,0,0,0,0,0,0,0,0
going through toys that reminded me of the time period that id been abused for,I will go crazy if I don't control my racing thoughts,Abuse is never the victim's fault. I can take steps to protect myself in the future without blaming myself for what happened in the past.,1,0,0,0,0,0,0,0,0,0,0,0,1
going through toys that reminded me of the time period that id been abused for,I will go crazy if I don't control my racing thoughts,Victims of abuse often feel shame and blame themselves. I can move past the abuse by learning to accept myself.,1,0,0,0,0,0,0,0,0,0,0,0,1
hearing loss caused by listening to music too loudly when younger,I am a failure,Hearing loss is not caused by you listening to loud music It can be heredity or in your family and not your fault It just is,0,0,0,0,0,0,0,0,0,0,0,0,0
i and my brother were working in the same office were i am his senior and when he does careless mistakes my boss warned me as i am his senior who is responsible for his work,my brother is very careless as he has the feeling that there is no one to ask him as his sister is the one who is senior,"Maybe my brother needs some support with the work that he's doing, and my boss, brother and I should all sit down together and talk.",1,0,0,0,0,0,0,0,0,1,0,0,0
i and my brother were working in the same office were i am his senior and when he does careless mistakes my boss warned me as i am his senior who is responsible for his work,my brother is very careless as he has the feeling that there is no one to ask him as his sister is the one who is senior,"I want to support my brother, and it feels challenging to navigate our different roles and power dynamics.",0,0,0,0,0,0,0,0,0,0,0,0,0
i ate too much and too fast to temporarily please myself but not because i felt hunger,i am not able to control my eating habits,I was feeling bad about something that happened today and I consoled myself with food.  I don't do that on a regular basis so saying that I'm not able to control my eating habits is not true.  I will find better ways to deal with stress at work.,1,0,0,0,0,0,0,0,0,1,0,0,0
i celebrated a past holiday by myself,why don't i have friends? why am i not social? SIGH!,"I didnt reach out to anybody to see if they wanted to get together for the holiday. I am sure if I had reached out, people would have been available. Next time, I should plan ahead.",1,1,0,0,0,0,0,0,0,0,0,0,0
i celebrated a past holiday by myself,why don't i have friends? why am i not social? SIGH!,"Just because I spent the holiday alone, doesn't mean that I do not have friends. My friends probably had other plans with their family, and I am sure if I had asked around, I would have found something to do. One event spent alone does not mean I do not have friends.",1,0,0,0,0,0,0,0,0,1,0,0,0
i dont wanna continue with this life,im ready to die,I want to live,1,0,0,1,1,0,0,0,0,0,0,0,0
"i still can't speak or understand korean, even after 6 months here",i'm not good enough,"I am good enough just the way I am.  It may take me longer to learn a new language, but I am doing the best that I can and I know that I will improve.",1,1,0,0,0,0,0,0,0,0,0,0,0
"i still can't speak or understand korean, even after 6 months here",i'm not good enough,"Although other people have learned Korean quicker and have lived here the same amount of time that I have, that does not mean I am not good enough.  My self worth is not defined by how quickly I learn a new langlkuage.",1,0,0,0,0,0,0,0,0,1,0,0,0
im scared of the human mind,i cant trust people,"Although I am scared and I feel that I can't trust people right now, there are things I can do to change that.  I can go to therapy and I can practice learning to trust people in a safe environment.",1,0,0,0,1,0,0,0,0,0,0,0,0
im scared of the human mind,i cant trust people,To say I can't trust people is trying to predict the future.  I am focusing only on my fear and ignoring the facts.  It is possible that there are many people I can trust.  I can definitely improve the odds by seeing a counselor to help me deal with my fears.,1,0,0,0,0,1,0,0,0,0,0,0,0
last week i went in for a job interview that i thought went very well but then i didnt get the job,ill never be able to find a good job,There are many reasons why I may not have gotten this job and this experience does not dictate my future,1,0,0,0,0,1,0,1,0,0,0,0,0
last week i went in for a job interview that i thought went very well but then i didnt get the job,ill never be able to find a good job,This job may not have worked out but I got interview practice for my next one.,1,0,0,0,0,1,0,1,0,0,0,0,0
"one of my friend posted a video of a spider getting inside a car, and she so happened to have had her car broken into. So i asked her if the police found whoever broke into her car, and she totally ignored me",maybe she doesn't like me anymore.,My friend is probably feeling pretty low after having her car broken into. She is probably not responding because she is not feeling great. I should try to reach back out later to see if I can do something to cheer her up.,1,0,0,0,0,0,0,0,1,0,0,0,0
"one of my friend posted a video of a spider getting inside a car, and she so happened to have had her car broken into. So i asked her if the police found whoever broke into her car, and she totally ignored me",maybe she doesn't like me anymore.,"My friend is probably really busy dealing with her car getting broken into, she will probably respond to me later.",1,0,0,0,0,0,0,0,0,0,0,0,1
